draft_name,label_info,label_success,label_primary,introduction,draft_unit,draft_person,basic_information,basic_info_items,draft_url
['空间数据与信息传输系统 邻近空间链路协议 物理层'],['国家标准'],['推荐性'],['现行'],"['国家标准《空间数据与信息传输系统 邻近空间链路协议 物理层》由', 'TC425', '（全国宇航技术及其应用标准化技术委员会）归口上报，', 'TC425SC3', '（全国宇航技术及其应用标准化技术委员会空间数据与信息传输分会）执行，主管部门为', '国家标准化管理委员会', '。']","['主要起草单位\r\n\t\t\t\t\t\t\t\t\t\t\t\r\n\t\t\t\t\t\r\n\t\t\t\t\t\t', '北京空间飞行器总体设计部', '\r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '中国航天标准化研究所', '\r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '合肥博雷电气有限公司', '\r\n\t\t\t\t\t\r\n\t\t\t\t。']","['主要起草人\r\n\t\t\t\t\t\t\t\t\t\t\t\r\n\t\t\t\t\t\r\n\t\t\t\t\t\t', '庞波', ' \r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '郝维宁', ' \r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '武莹', ' \r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '泉浩芳', ' \r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '郭坚', ' \r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '吴伟', ' \r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '何熊文', ' \r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '鲁超', ' \r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '高龙', ' \r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '李珂', ' \r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '汪路元', ' \r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '张建利', ' \r\n\t\t\t\t\t\r\n\t\t\t\t。']","[('标准号', 'GB/T 39354-2020'), ('发布日期', '2020-11-19'), ('实施日期', '2021-06-01'), ('中国标准分类号', 'V75'), ('国际标准分类号', ' '), ('归口单位', ['全国宇航技术及其应用标准化技术委员会']), ('执行单位', ['全国宇航技术及其应用标准化技术委员会空间数据与信息传输分会']), ('主管部门', ['国家标准化管理委员会'])]","(['http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673EB9A1A3B7E05397BE0A0AC6BF', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=697BE78FEC1E8086E05397BE0A0AE292', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673EBCC2A3B7E05397BE0A0AC6BF', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=B4C25880C4391CB3E05397BE0A0A92D0', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=697C194FC12A980CE05397BE0A0A44DB', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673EA80CA3B7E05397BE0A0AC6BF', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=B4C25880C4371CB3E05397BE0A0A92D0', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=697C28396F799ED9E05397BE0A0A4FD3', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=697C312A7860A248E05397BE0A0A2D24', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673EA824A3B7E05397BE0A0AC6BF'], ['20192221-T-469 ', ' ', '20192219-T-469 ', 'GB/T 39352-2020 ', ' ', '20192220-T-469 ', 'GB/T 39353-2020 ', ' ', ' ', '20192217-T-469 '], [['空间数据与信息传输系统 邻近空间链路协议 物理层'], ['空间数据与信息传输系统 邻近-1空间链接协议 物理层'], ['空间数据与信息传输系统 邻近空间链路协议 数据链路层'], ['空间数据与信息传输系统 邻近空间链路协议 数据链路层'], ['空间数据与信息传输系统 邻近-1空间链路协议 数据链路层'], ['空间数据与信息传输系统 邻近空间链路协议 同步和编码子层'], ['空间数据与信息传输系统 邻近空间链路协议 同步和编码子层'], ['空间数据与信息传输系统 遥测空间数据链路协议'], ['空间数据与信息传输系统 遥控空间数据链路协议'], ['空间数据与信息传输系统 遥控空间数据链路协议']])",http://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=31F74A3010D6011BE530C7B17C239AF6
['空间数据与信息传输系统 邻近空间链路协议 物理层'],['国家标准计划'],['制订'],['推荐性'],"['国家标准计划《空间数据与信息传输系统 邻近空间链路协议 物理层》由\r\n\t\t\t\t\r\n\t\t\t\t\t\r\n\t\t\t\t\t\r\n\t\t\t\t\t\t', 'TC425', '（全国宇航技术及其应用标准化技术委员会）归口上报，', 'TC425SC3', '（全国宇航技术及其应用标准化技术委员会空间数据与信息传输分会）执行\r\n\t\t\t\t\t\r\n\t\t\t\t\r\n\t\t\t\t，主管部门为', '国家标准化管理委员会', '。\r\n\t\t\t\t拟实施日期：发布后6个月正式实施。\r\n\t\t\t\t']","['主要起草单位\r\n\t\t\t\t\t\t\t\t\t\t\t\r\n\t\t\t\t\t\r\n\t\t\t\t\t\t', '北京空间飞行器总体设计部', '\r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '中国航天标准化研究所', '\r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '合肥博雷电气有限公司', '\r\n\t\t\t\t\t\r\n\t\t\t\t。']","['主要起草人\r\n\t\t\t\t\t\t\t\t\t\t\t\r\n\t\t\t\t\t\r\n\t\t\t\t\t\t', '庞波', ' \r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '郝维宁', ' \r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '武莹', ' \r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '泉浩芳', ' \r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '郭坚', ' \r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '吴伟', ' \r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '何熊文', ' \r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '鲁超', ' \r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '高龙', ' \r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '李珂', ' \r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '汪路元', ' \r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '张建利', ' \r\n\t\t\t\t\t\r\n\t\t\t\t。']","[('计划号', '20192221-T-469'), ('制修订', '制订'), ('项目周期', '24个月'), ('下达日期', '2019-07-12'), ('标准类别', '产品'), ('中国标准分类号', 'V75'), ('国际标准分类号', ' '), ('归口单位', ['全国宇航技术及其应用标准化技术委员会']), ('执行单位', ['全国宇航技术及其应用标准化技术委员会空间数据与信息传输分会']), ('主管部门', ['国家标准化管理委员会']), ('2018-04-17~2018-04-26', '通过率'), ('82.98%', '投票日期'), ('2020-03-31~2020-04-10', '通过率')]","(['http://std.samr.gov.cn/gb/search/gbDetailed?id=B4C25880C43D1CB3E05397BE0A0A92D0', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=697BE78FEC1E8086E05397BE0A0AE292', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673EBCC2A3B7E05397BE0A0AC6BF', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=B4C25880C4391CB3E05397BE0A0A92D0', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=697C194FC12A980CE05397BE0A0A44DB', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673EA80CA3B7E05397BE0A0AC6BF', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=B4C25880C4371CB3E05397BE0A0A92D0', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=697C28396F799ED9E05397BE0A0A4FD3', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=697C312A7860A248E05397BE0A0A2D24', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673EA824A3B7E05397BE0A0AC6BF'], ['GB/T 39354-2020 ', ' ', '20192219-T-469 ', 'GB/T 39352-2020 ', ' ', '20192220-T-469 ', 'GB/T 39353-2020 ', ' ', ' ', '20192217-T-469 '], [['空间数据与信息传输系统 邻近空间链路协议 物理层'], ['空间数据与信息传输系统 邻近-1空间链接协议 物理层'], ['空间数据与信息传输系统 邻近空间链路协议 数据链路层'], ['空间数据与信息传输系统 邻近空间链路协议 数据链路层'], ['空间数据与信息传输系统 邻近-1空间链路协议 数据链路层'], ['空间数据与信息传输系统 邻近空间链路协议 同步和编码子层'], ['空间数据与信息传输系统 邻近空间链路协议 同步和编码子层'], ['空间数据与信息传输系统 遥测空间数据链路协议'], ['空间数据与信息传输系统 遥控空间数据链路协议'], ['空间数据与信息传输系统 遥控空间数据链路协议']])",http://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=
['空间科学及其应用术语  第2部分：空间物理'],['国家标准'],['推荐性'],['现行'],"['国家标准《空间科学及其应用术语  第2部分：空间物理》由', 'TC312', '（全国空间科学及其应用标准化技术委员会）归口上报及执行，主管部门为', '中国科学院', '。']","['主要起草单位\r\n\t\t\t\t\t\t\t\t\t\t\t\r\n\t\t\t\t\t\r\n\t\t\t\t\t\t', '北京大学', '\r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '中国科学院地质与地球物理研究所', '\r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '中国科学院空间科学与应用研究中心', '\r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '中国科学院国家天文台', '\r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '国家空间天气监测预警中心', '\r\n\t\t\t\t\t\r\n\t\t\t\t。']","['主要起草人\r\n\t\t\t\t\t\t\t\t\t\t\t\r\n\t\t\t\t\t\r\n\t\t\t\t\t\t', '张东和', ' \r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '傅绥燕', ' \r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '魏勇', ' \r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '蔡磊', ' \r\n\t\t\t\t\t\r\n\t\t\t\t。']","[('标准号', 'GB/T 30114.2-2014'), ('发布日期', '2014-12-05'), ('实施日期', '2015-04-01'), ('中国标准分类号', 'V04'), ('国际标准分类号', ' '), ('归口单位', ['全国空间科学及其应用标准化技术委员会']), ('执行单位', ['全国空间科学及其应用标准化技术委员会']), ('主管部门', ['中国科学院'])]","(['http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673E59D6A3B7E05397BE0A0AC6BF', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673E80B6A3B7E05397BE0A0AC6BF', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D7F398D3A7E05397BE0A0AB82A', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673E45C3A3B7E05397BE0A0AC6BF', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D7F3B3D3A7E05397BE0A0AB82A', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673E5C1BA3B7E05397BE0A0AC6BF', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673E5367A3B7E05397BE0A0AC6BF', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D801B6D3A7E05397BE0A0AB82A', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D7EB50D3A7E05397BE0A0AB82A', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673E6A80A3B7E05397BE0A0AC6BF'], ['20111186-T-491 ', '20111187-T-491 ', 'GB/T 30114.3-2014 ', '20111191-T-491 ', 'GB/T 30114.7-2014 ', '20111190-T-491 ', '20100979-T-491 ', 'GB/T 30114.6-2014 ', 'GB/T 30114.1-2013 ', '20111188-T-491 '], [['空间科学及其应用术语  第2部分：空间物理'], ['空间科学及其应用术语  第3部分：空间天文'], ['空间科学及其应用术语  第3部分：空间天文'], ['空间科学及其应用术语  第7部分：微重力科学'], ['空间科学及其应用术语  第7部分：微重力科学'], ['空间科学及其应用术语  第6部分：航天医学'], ['空间科学及其应用术语  第1部分：基础通用'], ['空间科学及其应用术语  第6部分：航天医学'], ['空间科学及其应用术语  第1部分：基础通用'], ['空间科学及其应用术语  第4部分：月球与行星科学']])",http://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=6168877A63339E2DE7DA7BEC00496876
['空间科学及其应用术语  第2部分：空间物理'],['国家标准计划'],['制订'],['推荐性'],"['国家标准计划《空间科学及其应用术语  第2部分：空间物理》由\r\n\t\t\t\t\r\n\t\t\t\t\t\r\n\t\t\t\t\t\r\n\t\t\t\t\t\t', 'TC312', '（全国空间科学及其应用标准化技术委员会）归口上报及执行\r\n\t\t\t\t\t\r\n\t\t\t\t\r\n\t\t\t\t，主管部门为', '中国科学院', '。\r\n\t\t\t\t\r\n\t\t\t\t']","['主要起草单位\r\n\t\t\t\t\t\t\t\t\t\t\t\r\n\t\t\t\t\t\r\n\t\t\t\t\t\t', '北京大学', '\r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '中国科学院地质与地球物理研究所', '\r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '中国科学院空间科学与应用研究中心', '\r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '中国科学院国家天文台', '\r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '国家空间天气监测预警中心', '\r\n\t\t\t\t\t\r\n\t\t\t\t。']","['主要起草人\r\n\t\t\t\t\t\t\t\t\t\t\t\r\n\t\t\t\t\t\r\n\t\t\t\t\t\t', '张东和', ' \r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '傅绥燕', ' \r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '魏勇', ' \r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '蔡磊', ' \r\n\t\t\t\t\t\r\n\t\t\t\t。']","[('计划号', '20111186-T-491'), ('制修订', '制订'), ('项目周期', '36个月'), ('下达日期', '2011-12-14'), ('标准类别', '基础'), ('中国标准分类号', 'V04'), ('国际标准分类号', ' '), ('归口单位', ['全国空间科学及其应用标准化技术委员会']), ('执行单位', ['全国空间科学及其应用标准化技术委员会']), ('主管部门', ['中国科学院'])]","(['http://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D7F102D3A7E05397BE0A0AB82A', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673E80B6A3B7E05397BE0A0AC6BF', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D7F398D3A7E05397BE0A0AB82A', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673E45C3A3B7E05397BE0A0AC6BF', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D7F3B3D3A7E05397BE0A0AB82A', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673E5C1BA3B7E05397BE0A0AC6BF', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673E5367A3B7E05397BE0A0AC6BF', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D801B6D3A7E05397BE0A0AB82A', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D7EB50D3A7E05397BE0A0AB82A', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673E6A80A3B7E05397BE0A0AC6BF'], ['GB/T 30114.2-2014 ', '20111187-T-491 ', 'GB/T 30114.3-2014 ', '20111191-T-491 ', 'GB/T 30114.7-2014 ', '20111190-T-491 ', '20100979-T-491 ', 'GB/T 30114.6-2014 ', 'GB/T 30114.1-2013 ', '20111188-T-491 '], [['空间科学及其应用术语  第2部分：空间物理'], ['空间科学及其应用术语  第3部分：空间天文'], ['空间科学及其应用术语  第3部分：空间天文'], ['空间科学及其应用术语  第7部分：微重力科学'], ['空间科学及其应用术语  第7部分：微重力科学'], ['空间科学及其应用术语  第6部分：航天医学'], ['空间科学及其应用术语  第1部分：基础通用'], ['空间科学及其应用术语  第6部分：航天医学'], ['空间科学及其应用术语  第1部分：基础通用'], ['空间科学及其应用术语  第4部分：月球与行星科学']])",http://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=
['空间微重力流体物理 流场光学测量技术规范 第1部分：阴影法、纹影法'],['国家标准计划'],['制订'],['推荐性'],"['国家标准计划《空间微重力流体物理 流场光学测量技术规范 第1部分：阴影法、纹影法》由\r\n\t\t\t\t\r\n\t\t\t\t\t\r\n\t\t\t\t\t\r\n\t\t\t\t\t\t', 'TC312', '（全国空间科学及其应用标准化技术委员会）归口上报及执行\r\n\t\t\t\t\t\r\n\t\t\t\t\r\n\t\t\t\t，主管部门为', '中国科学院', '。\r\n\t\t\t\t\r\n\t\t\t\t']","['主要起草单位\r\n\t\t\t\t\t\t\t\t\t\t\t\r\n\t\t\t\t\t\r\n\t\t\t\t\t\t', '中国科学院力学研究所', '\r\n\t\t\t\t\t\r\n\t\t\t\t。']","['主要起草人\r\n\t\t\t\t\t\t\t\t\t\t\t\r\n\t\t\t\t\t\r\n\t\t\t\t\t\t', '胡良', ' \r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '康琦', ' \r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '段俐', ' \r\n\t\t\t\t\t\r\n\t\t\t\t。']","[('计划号', '20100980-T-491'), ('制修订', '制订'), ('项目周期', '36个月'), ('下达日期', '2010-12-17'), ('标准类别', '方法'), ('中国标准分类号', 'A42'), ('国际标准分类号', ' '), ('归口单位', ['全国空间科学及其应用标准化技术委员会']), ('执行单位', ['全国空间科学及其应用标准化技术委员会']), ('主管部门', ['中国科学院'])]","(['http://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D7EB49D3A7E05397BE0A0AB82A', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673E45C3A3B7E05397BE0A0AC6BF', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D7F3B3D3A7E05397BE0A0AB82A', 'http://std.samr.gov.cn/db/search/stdDBDetailed?id=BDDDABFE586A54C1E05397BE0A0A4678', 'http://std.samr.gov.cn/hb/search/stdHBDetailed?id=8B1827F25400BB19E05397BE0A0AB44A', 'http://std.samr.gov.cn/hb/search/stdHBDetailed?id=8B1827F25F56BB19E05397BE0A0AB44A', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=5DDA8B9DA8B418DEE05397BE0A0A95A7', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673EAF02A3B7E05397BE0A0AC6BF', 'http://std.samr.gov.cn/hb/search/stdHBDetailed?id=8B1827F20110BB19E05397BE0A0AB44A', 'http://std.samr.gov.cn/db/search/stdDBDetailed?id=B7BE16C46C832F6AE05397BE0A0AEF3D'], ['GB/T 30113.1-2013 ', '20111191-T-491 ', 'GB/T 30114.7-2014 ', 'DB37/T 4355—2021 ', 'DZ/T 0248-2014 ', 'SY/T 4100-1995 ', ' ', '20191262-T-607 ', 'SY/T 7307-2016 ', 'DB32/T 3869-2020 '], [['空间微重力流体物理 流场光学测量技术规范 第1部分：阴影法、纹影法'], ['空间科学及其应用术语  第7部分：微重力科学'], ['空间科学及其应用术语  第7部分：微重力科学'], ['浅海区海底重力测量技术规程'], ['岩石地球化学测量技术规程'], ['滩海工程测量技术规范'], ['大功率LED的光学测量'], ['大功率LED的光学测量'], ['致密油气储层岩石物理实验室测量技术规范'], ['土地整治项目测量技术规范']])",http://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=
