draft_name,label_info,label_success,label_primary,introduction,draft_unit,draft_person,basic_information,basic_info_items,draft_url
['空间高能天文数据存档格式'],['国家标准'],['推荐性'],['现行'],"['国家标准《空间高能天文数据存档格式》由', 'TC312', '（全国空间科学及其应用标准化技术委员会）归口上报及执行，主管部门为', '中国科学院', '。']","['主要起草单位\r\n\t\t\t\t\t\t\t\t\t\t\t\r\n\t\t\t\t\t\r\n\t\t\t\t\t\t', '中国科学院高能物理研究所', '\r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '中国科学院国家空间科学中心', '\r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '中国科学院空间应用工程与技术中心', '\r\n\t\t\t\t\t\r\n\t\t\t\t。']","['主要起草人\r\n\t\t\t\t\t\t\t\t\t\t\t\r\n\t\t\t\t\t\r\n\t\t\t\t\t\t', '宋黎明', ' \r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '郑世界', ' \r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '刘元', ' \r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '葛明玉', ' \r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '李承奎', ' \r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '聂建胤', ' \r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '徐鹤', ' \r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '佟继周', ' \r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '纪珍', ' \r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '李云龙', ' \r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '黑保琴', ' \r\n\t\t\t\t\t\r\n\t\t\t\t。']","[('标准号', 'GB/T 37846-2019'), ('发布日期', '2019-08-30'), ('实施日期', '2019-12-01'), ('中国标准分类号', 'A46'), ('国际标准分类号', ' '), ('归口单位', ['全国空间科学及其应用标准化技术委员会']), ('执行单位', ['全国空间科学及其应用标准化技术委员会']), ('主管部门', ['中国科学院'])]","(['http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673E5EF4A3B7E05397BE0A0AC6BF', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673E9282A3B7E05397BE0A0AC6BF', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D8261CD3A7E05397BE0A0AB82A', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=CC9A99BD630A954BE05397BE0A0A7DCC', 'http://std.samr.gov.cn/hb/search/stdHBDetailed?id=8B1827F26448BB19E05397BE0A0AB44A', 'http://std.samr.gov.cn/hb/search/stdHBDetailed?id=A64CCA4062F3EBE9E05397BE0A0AE8A0', 'http://std.samr.gov.cn/hb/search/stdHBDetailed?id=8B1827F22906BB19E05397BE0A0AB44A', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673E0A72A3B7E05397BE0A0AC6BF', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D7823ED3A7E05397BE0A0AB82A', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673E80B6A3B7E05397BE0A0AC6BF'], ['20142506-T-491 ', '20142505-T-491 ', 'GB/T 35440-2017 ', ' ', 'SY/T 5453-1996 ', 'QX/T 546—2020 ', 'SY 5453-1992 ', '20020554-T-466 ', 'GB/T 17798-2007 ', '20111187-T-491 '], [['空间高能天文数据存档格式'], ['空间高能天文辐射源命名规范'], ['空间高能天文辐射源命名规范'], ['空间高能天文科学观测提案评估规范'], ['地震数据处理成果带存档记录格式'], ['空间高能粒子辐射效应术语'], ['地震资料处理成果带存档纪录格式'], ['地理空间数据交换格式'], ['地理空间数据交换格式'], ['空间科学及其应用术语  第3部分：空间天文']])",http://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=F20126239644ABC25A674CFF206A70E1
['空间高能天文辐射源命名规范'],['国家标准'],['推荐性'],['现行'],"['国家标准《空间高能天文辐射源命名规范》由', 'TC312', '（全国空间科学及其应用标准化技术委员会）归口上报及执行，主管部门为', '中国科学院', '。']","['主要起草单位\r\n\t\t\t\t\t\t\t\t\t\t\t\r\n\t\t\t\t\t\r\n\t\t\t\t\t\t', '中国科学院高能物理研究所', '\r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '南京师范大学', '\r\n\t\t\t\t\t\r\n\t\t\t\t。']","['主要起草人\r\n\t\t\t\t\t\t\t\t\t\t\t\r\n\t\t\t\t\t\r\n\t\t\t\t\t\t', '宋黎明', ' \r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '刘元', ' \r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '葛明玉', ' \r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '赵海辉', ' \r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '李承奎', ' \r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '郑世界', ' \r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '徐鹤', ' \r\n\t\t\t\t\t\r\n\t\t\t\t。']","[('标准号', 'GB/T 35440-2017'), ('发布日期', '2017-12-29'), ('实施日期', '2018-04-01'), ('中国标准分类号', 'A46'), ('国际标准分类号', ' '), ('归口单位', ['全国空间科学及其应用标准化技术委员会']), ('执行单位', ['全国空间科学及其应用标准化技术委员会']), ('主管部门', ['中国科学院'])]","(['http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673E9282A3B7E05397BE0A0AC6BF', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673E5EF4A3B7E05397BE0A0AC6BF', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=91890A0DA61180C6E05397BE0A0A065D', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=CC9A99BD630A954BE05397BE0A0A7DCC', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673E2292A3B7E05397BE0A0AC6BF', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D76182D3A7E05397BE0A0AB82A', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D7CA09D3A7E05397BE0A0AB82A', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=B72D1A9DD75827C2E05397BE0A0A73AD', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673ED8BBA3B7E05397BE0A0AC6BF', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673E324FA3B7E05397BE0A0AC6BF'], ['20142505-T-491 ', '20142506-T-491 ', 'GB/T 37846-2019 ', ' ', '20061905-T-517 ', 'GB/T 13366-1992 ', 'GB/T 13366-2009 ', ' ', '20215006-T-607 ', '20090971-T-607 '], [['空间高能天文辐射源命名规范'], ['空间高能天文数据存档格式'], ['空间高能天文数据存档格式'], ['空间高能天文科学观测提案评估规范'], ['工业仪表用铯 137γ辐射源'], ['工业仪表用铯-137γ辐射源'], ['工业仪表用铯 137γ辐射源'], ['紫外辐射源的辐射测量方法'], ['紫外辐射源的辐射测量方法'], ['脉冲光辐射源光谱辐射测量方法']])",http://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=DC488CCE3D586CA0971D886BC864984D
['空间科学及其应用术语  第3部分：空间天文'],['国家标准'],['推荐性'],['现行'],"['国家标准《空间科学及其应用术语  第3部分：空间天文》由', 'TC312', '（全国空间科学及其应用标准化技术委员会）归口上报及执行，主管部门为', '中国科学院', '。']","['主要起草单位\r\n\t\t\t\t\t\t\t\t\t\t\t\r\n\t\t\t\t\t\r\n\t\t\t\t\t\t', '中国科学院高能物理研究所', '\r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '中国科学院紫金山天文台', '\r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '中国科学院国家天文台', '\r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '中国科学院上海技术物理研究所', '\r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '中国科学技术大学', '\r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '中国科学院西安光学精密机械研究所', '\r\n\t\t\t\t\t\r\n\t\t\t\t。']","['主要起草人\r\n\t\t\t\t\t\t\t\t\t\t\t\r\n\t\t\t\t\t\r\n\t\t\t\t\t\t', '宋黎明', ' \r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '黄跃', ' \r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '邓劲松', ' \r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '崔辰州', ' \r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '许春', ' \r\n\t\t\t\t\t\r\n\t\t\t\t。']","[('标准号', 'GB/T 30114.3-2014'), ('发布日期', '2014-12-05'), ('实施日期', '2015-04-01'), ('中国标准分类号', 'V04'), ('国际标准分类号', ' '), ('归口单位', ['全国空间科学及其应用标准化技术委员会']), ('执行单位', ['全国空间科学及其应用标准化技术委员会']), ('主管部门', ['中国科学院'])]","(['http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673E80B6A3B7E05397BE0A0AC6BF', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673E59D6A3B7E05397BE0A0AC6BF', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D7F102D3A7E05397BE0A0AB82A', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673E45C3A3B7E05397BE0A0AC6BF', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D7F3B3D3A7E05397BE0A0AB82A', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673E5C1BA3B7E05397BE0A0AC6BF', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673E5367A3B7E05397BE0A0AC6BF', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D801B6D3A7E05397BE0A0AB82A', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D7EB50D3A7E05397BE0A0AB82A', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673E6A80A3B7E05397BE0A0AC6BF'], ['20111187-T-491 ', '20111186-T-491 ', 'GB/T 30114.2-2014 ', '20111191-T-491 ', 'GB/T 30114.7-2014 ', '20111190-T-491 ', '20100979-T-491 ', 'GB/T 30114.6-2014 ', 'GB/T 30114.1-2013 ', '20111188-T-491 '], [['空间科学及其应用术语  第3部分：空间天文'], ['空间科学及其应用术语  第2部分：空间物理'], ['空间科学及其应用术语  第2部分：空间物理'], ['空间科学及其应用术语  第7部分：微重力科学'], ['空间科学及其应用术语  第7部分：微重力科学'], ['空间科学及其应用术语  第6部分：航天医学'], ['空间科学及其应用术语  第1部分：基础通用'], ['空间科学及其应用术语  第6部分：航天医学'], ['空间科学及其应用术语  第1部分：基础通用'], ['空间科学及其应用术语  第4部分：月球与行星科学']])",http://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=0895F6DA44F4C9D107D7CF8EBD3DFE1B
['空间高能天文辐射源命名规范'],['国家标准计划'],['制订'],['推荐性'],"['国家标准计划《空间高能天文辐射源命名规范》由\r\n\t\t\t\t\r\n\t\t\t\t\t\r\n\t\t\t\t\t\r\n\t\t\t\t\t\t', 'TC312', '（全国空间科学及其应用标准化技术委员会）归口上报及执行\r\n\t\t\t\t\t\r\n\t\t\t\t\r\n\t\t\t\t，主管部门为', '中国科学院', '。\r\n\t\t\t\t拟实施日期：发布后3个月正式实施。\r\n\t\t\t\t']","['主要起草单位\r\n\t\t\t\t\t\t\t\t\t\t\t\r\n\t\t\t\t\t\r\n\t\t\t\t\t\t', '中国科学院高能物理研究所', '\r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '南京师范大学', '\r\n\t\t\t\t\t\r\n\t\t\t\t。']","['主要起草人\r\n\t\t\t\t\t\t\t\t\t\t\t\r\n\t\t\t\t\t\r\n\t\t\t\t\t\t', '宋黎明', ' \r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '刘元', ' \r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '葛明玉', ' \r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '赵海辉', ' \r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '李承奎', ' \r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '郑世界', ' \r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '徐鹤', ' \r\n\t\t\t\t\t\r\n\t\t\t\t。']","[('计划号', '20142505-T-491'), ('制修订', '制订'), ('项目周期', '36个月'), ('下达日期', '2014-12-23'), ('标准类别', '基础'), ('中国标准分类号', 'A46'), ('国际标准分类号', ' '), ('归口单位', ['全国空间科学及其应用标准化技术委员会']), ('执行单位', ['全国空间科学及其应用标准化技术委员会']), ('主管部门', ['中国科学院'])]","(['http://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D8261CD3A7E05397BE0A0AB82A', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673E5EF4A3B7E05397BE0A0AC6BF', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=91890A0DA61180C6E05397BE0A0A065D', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=CC9A99BD630A954BE05397BE0A0A7DCC', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673E2292A3B7E05397BE0A0AC6BF', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D76182D3A7E05397BE0A0AB82A', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D7CA09D3A7E05397BE0A0AB82A', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=B72D1A9DD75827C2E05397BE0A0A73AD', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673ED8BBA3B7E05397BE0A0AC6BF', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673E324FA3B7E05397BE0A0AC6BF'], ['GB/T 35440-2017 ', '20142506-T-491 ', 'GB/T 37846-2019 ', ' ', '20061905-T-517 ', 'GB/T 13366-1992 ', 'GB/T 13366-2009 ', ' ', '20215006-T-607 ', '20090971-T-607 '], [['空间高能天文辐射源命名规范'], ['空间高能天文数据存档格式'], ['空间高能天文数据存档格式'], ['空间高能天文科学观测提案评估规范'], ['工业仪表用铯 137γ辐射源'], ['工业仪表用铯-137γ辐射源'], ['工业仪表用铯 137γ辐射源'], ['紫外辐射源的辐射测量方法'], ['紫外辐射源的辐射测量方法'], ['脉冲光辐射源光谱辐射测量方法']])",http://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=
['空间高能天文数据存档格式'],['国家标准计划'],['制订'],['推荐性'],"['国家标准计划《空间高能天文数据存档格式》由\r\n\t\t\t\t\r\n\t\t\t\t\t\r\n\t\t\t\t\t\r\n\t\t\t\t\t\t', 'TC312', '（全国空间科学及其应用标准化技术委员会）归口上报及执行\r\n\t\t\t\t\t\r\n\t\t\t\t\r\n\t\t\t\t，主管部门为', '中国科学院', '。\r\n\t\t\t\t拟实施日期：发布后3个月正式实施。\r\n\t\t\t\t']","['主要起草单位\r\n\t\t\t\t\t\t\t\t\t\t\t\r\n\t\t\t\t\t\r\n\t\t\t\t\t\t', '中国科学院高能物理研究所', '\r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '中国科学院国家空间科学中心', '\r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '中国科学院空间应用工程与技术中心', '\r\n\t\t\t\t\t\r\n\t\t\t\t。']","['主要起草人\r\n\t\t\t\t\t\t\t\t\t\t\t\r\n\t\t\t\t\t\r\n\t\t\t\t\t\t', '宋黎明', ' \r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '郑世界', ' \r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '刘元', ' \r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '葛明玉', ' \r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '李承奎', ' \r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '聂建胤', ' \r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '徐鹤', ' \r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '佟继周', ' \r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '纪珍', ' \r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '李云龙', ' \r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '黑保琴', ' \r\n\t\t\t\t\t\r\n\t\t\t\t。']","[('计划号', '20142506-T-491'), ('制修订', '制订'), ('项目周期', '36个月'), ('下达日期', '2014-12-23'), ('标准类别', '基础'), ('中国标准分类号', 'A46'), ('国际标准分类号', ' '), ('归口单位', ['全国空间科学及其应用标准化技术委员会']), ('执行单位', ['全国空间科学及其应用标准化技术委员会']), ('主管部门', ['中国科学院']), ('投票日期', '2018-03-26~2018-06-12'), ('通过率', '94.59%')]","(['http://std.samr.gov.cn/gb/search/gbDetailed?id=91890A0DA61180C6E05397BE0A0A065D', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673E9282A3B7E05397BE0A0AC6BF', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D8261CD3A7E05397BE0A0AB82A', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=CC9A99BD630A954BE05397BE0A0A7DCC', 'http://std.samr.gov.cn/hb/search/stdHBDetailed?id=8B1827F26448BB19E05397BE0A0AB44A', 'http://std.samr.gov.cn/hb/search/stdHBDetailed?id=A64CCA4062F3EBE9E05397BE0A0AE8A0', 'http://std.samr.gov.cn/hb/search/stdHBDetailed?id=8B1827F22906BB19E05397BE0A0AB44A', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673E0A72A3B7E05397BE0A0AC6BF', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D7823ED3A7E05397BE0A0AB82A', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673E80B6A3B7E05397BE0A0AC6BF'], ['GB/T 37846-2019 ', '20142505-T-491 ', 'GB/T 35440-2017 ', ' ', 'SY/T 5453-1996 ', 'QX/T 546—2020 ', 'SY 5453-1992 ', '20020554-T-466 ', 'GB/T 17798-2007 ', '20111187-T-491 '], [['空间高能天文数据存档格式'], ['空间高能天文辐射源命名规范'], ['空间高能天文辐射源命名规范'], ['空间高能天文科学观测提案评估规范'], ['地震数据处理成果带存档记录格式'], ['空间高能粒子辐射效应术语'], ['地震资料处理成果带存档纪录格式'], ['地理空间数据交换格式'], ['地理空间数据交换格式'], ['空间科学及其应用术语  第3部分：空间天文']])",http://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=
['空间科学及其应用术语  第3部分：空间天文'],['国家标准计划'],['制订'],['推荐性'],"['国家标准计划《空间科学及其应用术语  第3部分：空间天文》由\r\n\t\t\t\t\r\n\t\t\t\t\t\r\n\t\t\t\t\t\r\n\t\t\t\t\t\t', 'TC312', '（全国空间科学及其应用标准化技术委员会）归口上报及执行\r\n\t\t\t\t\t\r\n\t\t\t\t\r\n\t\t\t\t，主管部门为', '中国科学院', '。\r\n\t\t\t\t\r\n\t\t\t\t']","['主要起草单位\r\n\t\t\t\t\t\t\t\t\t\t\t\r\n\t\t\t\t\t\r\n\t\t\t\t\t\t', '中国科学院高能物理研究所', '\r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '中国科学院紫金山天文台', '\r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '中国科学院国家天文台', '\r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '中国科学院上海技术物理研究所', '\r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '中国科学技术大学', '\r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '中国科学院西安光学精密机械研究所', '\r\n\t\t\t\t\t\r\n\t\t\t\t。']","['主要起草人\r\n\t\t\t\t\t\t\t\t\t\t\t\r\n\t\t\t\t\t\r\n\t\t\t\t\t\t', '宋黎明', ' \r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '黄跃', ' \r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '邓劲松', ' \r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '崔辰州', ' \r\n\t\t\t\t\t\r\n\t\t\t\t\t\t、', '许春', ' \r\n\t\t\t\t\t\r\n\t\t\t\t。']","[('计划号', '20111187-T-491'), ('制修订', '制订'), ('项目周期', '36个月'), ('下达日期', '2011-12-14'), ('标准类别', '基础'), ('中国标准分类号', 'V04'), ('国际标准分类号', ' '), ('归口单位', ['全国空间科学及其应用标准化技术委员会']), ('执行单位', ['全国空间科学及其应用标准化技术委员会']), ('主管部门', ['中国科学院'])]","(['http://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D7F398D3A7E05397BE0A0AB82A', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673E59D6A3B7E05397BE0A0AC6BF', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D7F102D3A7E05397BE0A0AB82A', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673E45C3A3B7E05397BE0A0AC6BF', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D7F3B3D3A7E05397BE0A0AB82A', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673E5C1BA3B7E05397BE0A0AC6BF', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673E5367A3B7E05397BE0A0AC6BF', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D801B6D3A7E05397BE0A0AB82A', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D7EB50D3A7E05397BE0A0AB82A', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673E6A80A3B7E05397BE0A0AC6BF'], ['GB/T 30114.3-2014 ', '20111186-T-491 ', 'GB/T 30114.2-2014 ', '20111191-T-491 ', 'GB/T 30114.7-2014 ', '20111190-T-491 ', '20100979-T-491 ', 'GB/T 30114.6-2014 ', 'GB/T 30114.1-2013 ', '20111188-T-491 '], [['空间科学及其应用术语  第3部分：空间天文'], ['空间科学及其应用术语  第2部分：空间物理'], ['空间科学及其应用术语  第2部分：空间物理'], ['空间科学及其应用术语  第7部分：微重力科学'], ['空间科学及其应用术语  第7部分：微重力科学'], ['空间科学及其应用术语  第6部分：航天医学'], ['空间科学及其应用术语  第1部分：基础通用'], ['空间科学及其应用术语  第6部分：航天医学'], ['空间科学及其应用术语  第1部分：基础通用'], ['空间科学及其应用术语  第4部分：月球与行星科学']])",http://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=
